city;coordinateNumber;nameImpurity;1November;2November;3November;4November;5November;6November;7November;8November;9November;10November;11November;12November;13November;14November;15November;16November;17November;18November;19November;20November;21November;22November;23November;24November;25November;26November;27November;28November;29November;30November
Київ;5053050;Завислі речовини;0,074875;0,073769231;null;0,072740741;0,069857143;0,073035714;0,075321429;0,072714286;0,07025;null;0,069714286;0,069923077;0,071384615;0,071423077;0,071807692;0,07325;null;0,07204;0,072956522;0,07372;0,070363636;0,073;0,07252;null;0,068269231;0,070076923;0,066363636;0,069111111;0,067;0,068285714
Київ;5053050;Дiоксид сiрки;0,081994444;0,085355;null;0,078315;0,079404762;0,07987381;0,08325;0,082721429;0,083211905;null;0,078883333;0,085539474;0,085407895;0,079028947;0,081239474;0,075061905;null;0,075823077;0,082189474;0,079189744;0,082952778;0,078961538;0,074869231;null;0,080105263;0,0803;0,076331034;0,075518519;0,073990323;0,074758065
Київ;5053050;Сульфати;0,0175;0,016;null;0,0135;0,0125;0,0155;0,016;0,018;0,014;null;0,0165;0,0145;0,014;0,0115;0,0145;0,015;null;0,013;0,0155;0,019;0,008;0,0135;0,014;null;0,0165;0,0145;null;null;null;null
Київ;5053050;Оксид вуглецю;0,866428571;0,672;null;0,91483871;1,009375;0,824375;1,1146875;1,0884375;1,0409375;null;1,2625;1,284;1,122333333;1,160333333;0,957;1,4659375;null;1,0325;0,97;0,849666667;1,030666667;1,403666667;1,494666667;null;1,457666667;1,317;1,177142857;1,365714286;1,09;1,232857143
Київ;5053050;Дiоксид азоту;0,072391667;0,0783725;null;0,0711575;0,076852381;0,082104762;0,083957143;0,079414286;0,079528571;null;0,072945238;0,086834211;0,086473684;0,088186842;0,090989474;0,085540476;null;0,084133333;0,085071053;0,086007692;0,075819444;0,070192308;0,077197436;null;0,069707895;0,067980556;0,072475862;0,076614286;0,067145161;0,069358065
Київ;5053050;Сiрководень;0,002075;0,00185;null;0,001675;0,001666667;0,001883333;0,001883333;0,00195;0,001883333;null;0,001633333;0,001766667;0,001983333;0,001666667;0,00195;0,002433333;null;0,001783333;0,001675;0,001725;0,00145;0,001525;0,0016;null;0,0015;0,001675;0,001825;0,002275;0,00195;0,001875
Київ;5053050;Фенол;0,00365;0,003358333;null;0,003784615;0,003414286;0,003685714;0,003535714;0,003285714;0,003414286;null;0,003121429;0,0029;0,002907143;0,002985714;0,0031;0,002892857;null;0,002858333;0,003038462;0,003269231;0,003115385;0,002585714;0,002764286;null;0,002484615;0,0023;0,00266;0,002455556;0,002733333;0,002288889
Київ;5053050;Фтористий водень;0,000916667;0,000741667;null;0,000676923;0,000742857;0,000721429;0,000628571;0,000614286;0,000642857;null;0,000492857;0,000592857;0,000642857;0,000635714;0,000771429;0,001021429;null;0,000907143;0,000730769;0,000728571;0,000521429;0,000661538;0,000578571;null;0,000764286;0,00065;0,000621429;0,000616667;0,000709091;0,0007
Київ;5053050;Хлористий водень;0,073314286;0,062288889;null;0,061489474;0,06292;0,064725;0,07;0,06743;0,061425;null;0,06219;0,06092;0,06035;0,06225;0,06161;0,064085;null;0,063685;0,070653333;0,0698875;0,0634375;0,06676;0,0617;null;0,068375;0,06196875;0,064614286;0,053154545;0,057566667;0,0632
Київ;5053050;Амiак;0,007728571;0,00764375;null;0,007776471;0,007661111;0,007394444;0,008161111;0,008211111;0,007644444;null;0,007811111;0,007722222;0,007616667;0,0077;0,008116667;0,008744444;null;0,008088235;0,007866667;0,00706875;0,0075125;0,00745625;0,00776875;null;0,007866667;0,008292857;0,008242857;0,007190909;0,0082;0,007683333
Київ;5053050;Формальдегiд;0,00369;0,004261364;null;0,004077778;0,003613043;0,003904348;0,004965217;0,00391087;0,003730435;null;0,004504348;0,004688095;0,004630952;0,005038095;0,004914286;0,003982609;null;0,004186047;0,004425581;0,004122222;0,004075;0,003986364;0,004148889;null;0,004143182;0,003519048;0,003358333;0,003221212;0,003494118;0,003391429
Вінниця;4922860;Завислі речовини;0;0;null;0,025;0;0;0;0;0;null;0,125;0,2;0,075;0,025;0,125;0,1;null;0;0;0;0;0;0;null;0;0;0;0;0;0
Вінниця;4922860;Дiоксид сiрки;0;0;null;0;0;0;0;0;0;null;0,0005;0,0005;0;0;0;0;null;0;0;0,0002625;0,0002625;0,0002625;0,0002625;null;0;0;0;0;0;0
Вінниця;4922860;Оксид вуглецю;1,025;0,875;null;1,025;1,125;1,275;2,525;1,4;0,975;null;0,9;1,175;1,2;1,1;1,05;1,075;null;1,8;1,05;0,95;1,1;1,225;0,875;null;1,375;1,25;1,25;1,125;1,1;1,2
Вінниця;4922860;Дiоксид азоту;0,0258375;0,037425;null;0,0178;0,122975;0,131975;0,1051875;0,10045;0,0583125;null;0,0447875;0,0363375;0,071375;0,0625625;0,057275;0,080925;null;0,0847375;0,087625;0,0888625;0,049075;0,0733125;0,048875;null;0,0791625;0,085575;0,0718;0,0569375;0,05235;0,056275
Вінниця;4922860;Фтористий водень;0,00185;0,0080375;null;0,0079;0,0113125;0,013375;0,00635;0,0045625;0,004925;null;0;0,0021125;0,0035;0,0066625;0,0056625;0,012375;null;0,01255;0,0018;0,0044375;0,003625;0,0036;0,000725;null;0,0077625;0;0,0046;0,00245;0,0021;0,00315
Вінниця;4922860;Амiак;0;0,0036;null;0,003575;0,00355;0,026575;0;0,0141;0;null;0,0105;0,003525;0;0;0,00355;0,010675;null;0,003575;0,014375;0,009275;0,0072;0,012675;0,017975;null;0,00355;0;0,017775;0,003525;0;0,0035
Вінниця;4922860;Формальдегiд;0,017025;0,0139;null;0,004875;0,008675;0,009675;0,018275;0,012475;0,013475;null;0,011425;0,00765;0,00575;0,0134;0,012575;0,01165;null;0,01475;0,01565;0,0071;0,01575;0,006925;0;null;0,0145;0,00585;0,004825;0,006725;0,0115;0,010475
Луцьк;5082530;Завислі речовини;0,066666667;0,083333333;null;0,066666667;0,083333333;0,1;0,116666667;0,033333333;0,033333333;null;0,05;0,033333333;0,05;0,05;0,083333333;0,05;null;0,133333333;0,083333333;0,1;0,066666667;0,116666667;0,05;null;0,05;0,033333333;0,116666667;0,066666667;0,083333333;0,033333333
Луцьк;5082530;Дiоксид сiрки;0,001366667;0,001675;null;0,001658333;0,002816667;0,002358333;0,002491667;0,002133333;0,001425;null;0,002541667;0,001925;0,002541667;0,002225;0,0024;0,002225;null;0,002733333;0,002675;0,001816667;0,002983333;0,0027;0,001533333;null;0,002725;0,002625;0,0016;0,002625;0,002458333;0,002591667
Луцьк;5082530;Сульфати;0,01;0,005;null;0,01;0,015;0,01;0,01;0,01;0;null;0,005;0,01;0,01;0,01;0,015;0,01;null;0,015;0,01;0,01;0,01;0,015;0,01;null;0,01;0,01;0,015;0,01;0,015;0
Луцьк;5082530;Оксид вуглецю;0;0;null;0;0,5;0,333333333;0,333333333;0,166666667;0;null;0;0,166666667;0,333333333;0;0;0;null;0,166666667;0;0;0;0;0;null;0;0;0,333333333;0,333333333;0,5;0,5
Луцьк;5082530;Дiоксид азоту;0,108908333;0,061741667;null;0,087333333;0,076991667;0,084875;0,084675;0,077625;0,0532;null;0,052766667;0,0547;0,068191667;0,0573;0,062291667;0,044866667;null;0,052266667;0,061975;0,056191667;0,066225;0,064816667;0,054666667;null;0,054116667;0,065108333;0,065691667;0,055625;0,094733333;0,057983333
Луцьк;5082530;Оксид азоту;0,050075;0,023;null;0,036975;0,028775;0,046;0,03145;0,042425;0,024325;null;0,019425;0,0142;0,033625;0,031075;0,024675;0,014525;null;0,0287;0,023075;0,01905;0,0222;0,023425;0,023075;null;0,03265;0,022825;0,01785;0,0231;0,0403;0,0161
Луцьк;5082530;Фенол;0,005025;0,004675;null;0,005708333;0,006158333;0,0058;0,005916667;0,005191667;0,004558333;null;0,007058333;0,005608333;0,006958333;0,005241667;0,0062;0,005358333;null;0,006016667;0,00575;0,006625;0,006333333;0,005616667;0,005166667;null;0,0059;0,005933333;0,005716667;0,0054875;0,0048;0,004725
Луцьк;5082530;Формальдегiд;0,00505;0,00265;null;0,0036875;0,0066;0,0066875;0,0042;0,004925;0,0045125;null;0,00515;0,0044;0,0050125;0,0051125;0,0061875;0,0065625;null;0,00605;0,0068125;0,008075;0,007175;0,0059375;0,0047;null;0,0045125;0,005;0,005075;0,006275;0,0036875;0,0022625
Ужгород;4862230;Завислі речовини;0,185;0,1675;null;0,1325;0,2125;0,2425;0,285;0,29;0,305;null;0,2475;0,2375;0,2675;0,1875;0,1625;0,1375;null;0,115;0,1325;0,1475;0,135;0,1575;0,115;null;0,1625;0,2375;0,235;0,205;0,2125;0,2225
Ужгород;4862230;Дiоксид сiрки;0,013875;0,015125;null;0,014625;0,012;0,014125;0,014;0,015625;0,013125;null;0,012125;0,0155;0,01375;0,01325;0,01225;0,013375;null;0,012375;0,013285714;0,011625;0,01375;0,01175;0,01225;null;0,017625;0,017125;0,01325;0,015;0,01575;0,013125
Ужгород;4862230;Сульфати;0,0125;0,017;null;0,009;0,0105;0,0095;0,007;0,005;0,005;null;0,0085;0,0075;0,0065;0,0065;0,0085;0,0085;null;0,0065;0,005;0,0035;0,006;0,007;0,0085;null;0,0085;0,0065;0,0045;0,0045;0,0035;0,003
Ужгород;4862230;Оксид вуглецю;1,15;0,86;null;1,185;1,24;1,2725;1,3875;1,0625;1,2;null;1,2275;0,955;1,01;0,94;1,4;0,9;null;0,8275;0,8375;0,8275;0,9725;0,745;0,8125;null;1,135;1,5075;1,195;0,9;1,16;1,5375
Ужгород;4862230;Дiоксид азоту;0,045875;0,056625;null;0,044875;0,036625;0,0395;0,082875;0,094;0,084625;null;0,052375;0,05275;0,06725;0,072875;0,053625;0,03875;null;0,043875;0,055142857;0,051375;0,064875;0,056;0,05775;null;0,073;0,06825;0,0485;0,077;0,08475;0,07525
Ужгород;4862230;Оксид азоту;0,02825;0,05775;null;0,0365;0,02825;0,023;0,03725;0,0425;0,0355;null;0,0345;0,0475;0,03575;0,07325;0,032;0,03375;null;0,03875;0,029333333;0,02225;0,0515;0,03225;0,0345;null;0,03875;0,043;0,02575;0,05475;0,048;0,0345
Ужгород;4862230;Формальдегiд;0,007125;0,006625;null;0,0045;0,0045;0,0055;0,006625;0,008125;0,006;null;0,007;0,00875;0,00725;0,005625;0,007;0,007625;null;0,006875;0,006857143;0,006375;0,0065;0,00575;0,007375;null;0,00725;0,008;0,008625;0,00925;0,009125;0,007125
Запоріжжя;4793510;Завислі речовини;0,11;0,06;null;0,08;0,06;0,07;0,09;0,08;0,09;null;0,05;0,1;0,1;0,12;0,11;0,1;null;0,08;0,1125;0,1;0,0875;0,0875;0,05;null;0,08;0,08;0,06;0,08;0,08;0,07
Запоріжжя;4793510;Дiоксид сiрки;0,005;0,006028571;null;0,006353846;0,006385714;0,00525;0,006071429;0,005428571;0,004921429;null;0,006230769;0,008735714;0,007842857;0,0076;0,00775;0,0071;null;0,007038462;0,006941667;0,006907692;0,006172727;0,006083333;0,005164286;null;0,006138462;0,0056;0,005757143;0,005178571;0,006585714;0,007921429
Запоріжжя;4793510;Сульфати;0,015;0,01;null;0,01;0,015;0,015;0,01;0,015;0,015;null;0,01;0,02;0,015;0,01;0,01;0,01;null;0,01;0,015;0,015;0,01;0,015;0,01;null;0,015;0,015;0,015;0,01;0,01;0,01
Запоріжжя;4793510;Оксид вуглецю;0,51;0,34;null;0,35;0,31;0,4;0,52;0,53;0,37;null;0,36;0,43;0,36;0,54;0,4;0,61;null;0,61;1,11;0,47;0,54;0,43;0,28;null;0,34;0,32;0,59;0,69;0,43;0,35
Запоріжжя;4793510;Дiоксид азоту;0,052121429;0,057914286;null;0,050584615;0,062935714;0,063592857;0,048714286;0,060142857;0,06565;null;0,0675;0,092471429;0,075221429;0,060571429;0,057228571;0,072728571;null;0,070192308;0,059575;0,075846154;0,071054545;0,060458333;0,050585714;null;0,074484615;0,092635714;0,061471429;0,05135;0,054764286;0,046164286
Запоріжжя;4793510;Оксид азоту;0,038366667;0,031833333;null;0,033433333;0,045366667;0,0398;0,037833333;0,056933333;0,0409;null;0,0387;0,0518;0,0475;0,045233333;0,0411;0,052166667;null;0,039866667;0,0398;0,0444;0,0481;0,0415;0,047366667;null;0,049466667;0,047533333;0,040566667;0,029833333;0,034433333;0,0403
Запоріжжя;4793510;Сiрководень;0,002854545;0,002427273;null;0,003222222;0,003218182;0,003072727;0,002690909;0,002990909;0,003;null;0,003266667;0,004363636;0,004636364;0,003163636;0,003545455;0,002781818;null;0,003266667;0,00332;0,0034;0,00331;0,002863636;0,002963636;null;0,004066667;0,0036;0,002618182;0,002936364;0,002454545;0,003272727
Запоріжжя;4793510;Фенол;0,00525;0,00443;null;0,004355556;0,00601;0,00627;0,00519;0,00441;0,005;null;0,006722222;0,0081;0,00655;0,00533;0,00641;0,0066;null;0,004966667;0,00604;0,00597;0,00729;0,00638;0,00559;null;0,006822222;0,0061;0,00488;0,00448;0,00475;0,00478
Запоріжжя;4793510;Фтористий водень;0,00035;0;null;0;0;0;0;0,00015;0,0004;null;0,0002;0,0004;0,0003;0;0;0;null;0;0;0;0;0,0003;0;null;0,000533333;0,00015;0;0;0;0,00025
Запоріжжя;4793510;Хлористий водень;0,04505;0,0389375;null;0,035683333;0,044425;0,0427125;0,0426875;0,039875;0,0344875;null;0,039333333;0,044375;0,038225;0,0356375;0,0420375;0,0409375;null;0,050666667;0,037;0,039;0,04798;0,04582;0,041228571;null;0,040983333;0,0358125;0,0305;0,029225;0,0430625;0,0291
Запоріжжя;4793510;Формальдегiд;0,006925;0,005325;null;0,006533333;0,007275;0,004675;0,0055;0,005575;0,00535;null;0,0065;0,007575;0,0076;0,005825;0,005375;0,00715;null;0,004533333;0,00615;0,0068;0,0072;0,006725;0,006425;null;0,004833333;0,006975;0,005;0,004675;0,003625;0,0034
Івано-Франківськ;4892470;Завислі речовини;null;null;null;null;null;null;null;null;null;null;null;null;null;0,15;0,105;0,115;null;0,14;0,15;0,145;0,145;0,155;0,145;null;0,145;0,17;0,15;0,105;0,17;0,145
Івано-Франківськ;4892470;Дiоксид сiрки;null;null;null;null;null;null;null;null;null;null;null;null;null;0,00225;0,002625;0,003375;null;0,0023;0,002675;0,01195;0,0046;0,003075;0,003775;null;0,003375;0,002625;0,00225;0,003025;0,002625;0,00225
Івано-Франківськ;4892470;Оксид вуглецю;null;null;null;null;null;null;null;null;null;null;null;null;null;1,9;1,3;1,35;null;1,8;2,05;1,8;2;2,05;1,85;null;1,85;2,7;2,15;1,55;2,45;1,95
Івано-Франківськ;4892470;Дiоксид азоту;null;null;null;null;null;null;null;null;null;null;null;null;null;0,035925;0,037175;0,0433;null;0,042075;0,042825;0,05525;0,0442;0,038725;0,0373;null;0,044175;0,032725;0,040625;0,05365;0,03965;0,03605
Івано-Франківськ;4892470;Оксид азоту;null;null;null;null;null;null;null;null;null;null;null;null;null;0,0262;0,026275;0,02925;null;0,030075;0,029425;0,035875;0,0291;0,027675;0,02525;null;0,0283;0,024275;0,0284;0,034475;0,02705;0,026275
Дніпро;4863510;Завислі речовини;0,3125;0,2025;null;0,3875;0,3375;0,25;0,225;0,3;0,225;null;0,1875;0,225;0,225;0,2;0,2;0,2;null;0,2375;0,2125;0,2375;0,15;0,2;0,1375;null;0,225;0,2875;0,325;0,25;0,2375;0,225
Дніпро;4863510;Дiоксид сiрки;0,012625;0,02125;null;0,024722222;0,026791667;0,015041667;0,015083333;0,012666667;0,008833333;null;0,009388889;0,01125;0,008875;0,0095;0,008833333;0,013041667;null;0,008611111;0,012416667;0,010791667;0,013791667;0,011333333;0,01175;null;0,009055556;0,008291667;0,013875;0,01552381;0,010909091;0,008782609
Дніпро;4863510;Оксид вуглецю;1,75;2;null;1,333333333;2,166666667;1,75;2,333333333;2,166666667;2,416666667;null;2,5;2,416666667;2,75;2,75;2,666666667;2,416666667;null;2;2,083333333;2;1,5;1,833333333;2,083333333;null;1,75;2;2,083333333;2,166666667;2,333333333;2
Дніпро;4863510;Дiоксид азоту;0,063333333;0,062916667;null;0,063333333;0,0575;0,059583333;0,070416667;0,073333333;0,09625;null;0,088888889;0,085833333;0,085833333;0,085;0,07625;0,060833333;null;0,079444444;0,067083333;0,053333333;0,047916667;0,05;0,047083333;null;0,060555556;0,050833333;0,06;0,05;0,061363636;0,062608696
Дніпро;4863510;Оксид азоту;0,0325;0,0375;null;0,03;0,03;0,03;0,0325;0,0375;0,04;null;0,043333333;0,04;0,04;0,04;0,0375;0,0375;null;0,043333333;0,035;0,025;0,015;0,02;0,02;null;0,02;0,0225;0,0275;0;0,035;0,02
Дніпро;4863510;Сiрководень;0,002208333;0,005666667;null;0,004722222;0,006791667;0,003416667;0,00325;0,003833333;0,0025;null;0,001888889;0,002166667;0,002208333;0,002583333;0,001958333;0,002333333;null;0,001;0,002541667;0,000875;0,0005;0,001083333;0,003333333;null;0,001555556;0,001041667;0,0035;0,003047619;0,001;0,00126087
Дніпро;4863510;Фенол;0,001916667;0,002;null;0,001777778;0,001666667;0,0015;0,001583333;0,001416667;0,001666667;null;0,002333333;0,003;0,001083333;0,002083333;0,00275;0,001666667;null;0,002;0,002416667;0,002416667;0,00275;0,001916667;0,002;null;0,001;0,0015;0,00175;0,001583333;0,0025;0,000833333
Дніпро;4863510;Амiак;0,0375;0,04;null;0,038333333;0,0325;0,03375;0,03375;0,03875;0,03125;null;0,036666667;0,03125;0,02375;0,02375;0,03;0,03375;null;0,036666667;0,0425;0,0375;0,03625;0,035;0,03375;null;0,035;0,02625;0,025;0,035;0,035;0,03
Дніпро;4863510;Формальдегiд;0,014166667;0,015416667;null;0,014111111;0,011;0,011166667;0,011916667;0,010666667;0,010333333;null;0,010888889;0,0105;0,010416667;0,011833333;0,013583333;0,01025;null;0,012333333;0,011583333;0,012333333;0,012333333;0,011666667;0,01325;null;0,011777778;0,0095;0,009833333;0,008916667;0,009833333;0,0105
Кривий Ріг;4793340;Завислі речовини;0,31;0,28;null;0,3;0,24;0,21;0,33;0,23;0,24;null;0,31;0,33;0,14;0;0,05;0,08;null;0,42;0,37;0,31;0,03;0,06;0,02;null;0,05;0,17;0,22;0,2;0,29;null
Кривий Ріг;4793340;Дiоксид сiрки;0,026846154;0,029230769;null;0,0346;0,029846154;0,025769231;0,024538462;0,027230769;0,022076923;null;0,0224;0,029153846;0,017230769;0,009230769;0,012153846;0,016538462;null;0,0345;0,029538462;0,029307692;0,017076923;0,018230769;0,011;null;0,0184;0,023769231;0,025923077;0,027230769;0,030076923;null
Кривий Ріг;4793340;Оксид вуглецю;1;1,3;null;1;1;1;1;1,3;1;null;1;1,3;1;1,2;1;1,1;null;1,6;1,3;1,5;1,3;1,1;1;null;1;1,3;1,4;1;1,6;null
Кривий Ріг;4793340;Дiоксид азоту;0,027692308;0,034615385;null;0,027;0,04;0,028461538;0,018461538;0,025384615;0,023076923;null;0,029;0,035384615;0,028461538;0,029230769;0,023076923;0,021538462;null;0,041;0,031538462;0,034615385;0,025384615;0,028461538;0,025384615;null;0,024;0,021538462;0,037692308;0,029230769;0,034615385;null
Кривий Ріг;4793340;Оксид азоту;0,016666667;0,023333333;null;0,015;0,033333333;0,013333333;0,01;0,023333333;0,013333333;null;0,02;0,016666667;0,016666667;0,013333333;0,016666667;0,016666667;null;0,03;0,016666667;0,026666667;0,016666667;0,013333333;0,016666667;null;0,015;0,013333333;0,023333333;0,016666667;0,02;null
Кривий Ріг;4793340;Сiрководень;0,001;0,0014;null;0,0015;0,0011;0,0009;0,001;0,001;0,0012;null;0,0015;0,0013;0,0013;0,0013;0,0008;0,0009;null;0,0017;0,0014;0,001;0,0009;0,0013;0,0008;null;0,0006;0,001;0,0013;0,0011;0,0014;null
Кривий Ріг;4793340;Фенол;0,0022;0,00265;null;0,001866667;0,0018;0,00155;0,00145;0,0019;0,00165;null;0,002133333;0,00215;0,0025;0,0024;0,00145;0,0012;null;0,003666667;0,00215;0,00225;0,0015;0,0016;0,00145;null;0,000866667;0,0017;0,0021;0,00205;0,0023;null
Кривий Ріг;4793340;Амiак;0,011;0,012;null;0,01;0,01;0,009;0,0095;0,01;0,01;null;0,010666667;0,011;0,01;0,0105;0,0095;0,008;null;0,013333333;0,0105;0,01;0,0065;0,0095;0,008;null;0,008;0,01;0,0105;0,0105;0,0115;null
Кривий Ріг;4793340;Формальдегiд;0,01203;0,01375;null;0,012866667;0,01155;0,01118;0,01195;0,0108;0,0096;null;0,009866667;0,0103;0,01105;0,0091;0,00825;0,0104;null;0,015733333;0,01165;0,01055;0,0088;0,01005;0,0088;null;0,010133333;0,01265;0,0115;0,0114;0,013;null
Кам'янське;4853460;Завислі речовини;0,2736875;0,3113;null;0,3833875;0,376475;0,192775;0,212825;0,2138375;0,20675;null;0,2343125;0,1867625;0,1556125;0,0221125;0,127325;0,17995;null;0,17255;0,142275;0,2870125;0,1533;0,083375;0,091875;null;0,2663;0,2104;0,13215;0,144475;0,14365;0,11195
Кам'янське;4853460;Дiоксид сiрки;0,0072625;0,006925;null;0,005425;0,0059875;0,005825;0,0073375;0,007025;0,0060625;null;0,005725;0,0053375;0,0056625;0,0035625;0,0055375;0,006825;null;0,00685;0,006975;0,006425;0,0053;0,004225;0,005525;null;0,005825;0,005975;0,006775;0,00795;0,007075;0,0067
Кам'янське;4853460;Оксид вуглецю;3,375;3;null;3,25;3;3,5;3,875;3,375;3,125;null;3,5;3,25;3,125;3,25;3,125;3,25;null;3,375;3,125;3,375;2,75;2,75;3;null;3;2,75;2,75;3,25;3;3,25
Кам'янське;4853460;Дiоксид азоту;0,11125625;0,0989875;null;0,105083333;0,13;0,10756875;0,1293875;0,1192625;0,11884375;null;0,106316667;0,1198;0,11898125;0,09045625;0,1297;0,1405875;null;0,1488;0,134725;0,1206;0,1049625;0,1099875;0,10565;null;0,106383333;0,11505;0,130325;0,1198875;0,1381;0,125375
Кам'янське;4853460;Оксид азоту;0,04815;0,042;null;0,051133333;0,07105;0,04525;0,070125;0,06095;0,071275;null;0,0495;0,060725;0,062475;0,0438;0,064625;0,058025;null;0,0718;0,0657;0,0553;null;null;null;null;null;null;null;null;null;null
Кам'янське;4853460;Сiрководень;0,004513333;0,004086667;null;0,004436364;0,00482;0,0041;0,004446667;0,004693333;0,00494;null;0,004090909;0,00336;0,002626667;0,00258;0,002346667;0,003053333;null;0,003063636;0,003553333;0,002993333;0,0032;0,002285714;0,003971429;null;0,00424;0,0036;0,004728571;0,003757143;0,0043;0,005014286
Кам'янське;4853460;Фенол;0,00529375;0,005325;null;0,004841667;0,0051625;0,0048;0,00545;0,0048875;0,0048875;null;0,004825;0,00494375;0,0043875;0,00320625;0,003875;0,00378125;null;0,003925;0,004425;0,0032375;0,0053375;0,0050125;0,0048;null;0,00615;0,004775;0,0047875;0,0052375;0,0052125;0,0053875
Кам'янське;4853460;Амiак;0,0452875;0,0444;null;0,043725;0,043325;0,0457375;0,0476375;0,0499;0,04655;null;0,04965;0,045725;0,0438;0,036425;0,043925;0,044575;null;0,04235;0,0400625;0,0360125;0,034725;0,022475;0,040675;null;0,035825;0,037075;0,038425;0,0472;0,038625;0,0492
Кам'янське;4853460;Формальдегiд;0,0081;0,0087125;null;0,008225;0,008025;0,0085875;0,0110625;0,00855;0,0081375;null;0,008025;0,0089875;0,0088125;0,0099;0,005475;0,0057;null;0,0070625;0,009725;0,0084125;0,006625;0,007625;0,01135;null;0,009625;0,007975;0,008975;0,0108;0,0093;0,0112
Кропивницький;4853220;Завислі речовини;0,266666667;0,25;null;0,166666667;0,266666667;0,216666667;0,283333333;0,25;0,166666667;null;0,2;0,266666667;0,283333333;0,2;0,233333333;0,266666667;null;0,25;0,3;0,25;0,25;0,2;0,183333333;null;0,2;0,233333333;0,216666667;0,233333333;0,183333333;0,166666667
Кропивницький;4853220;Дiоксид сiрки;0,017391667;0,018658333;null;0,018888889;0,017058333;0,02245;0,018733333;0,021141667;0,020241667;null;0,014644444;0,018416667;0,020433333;0,018625;0,016325;0,016041667;null;0,029577778;0,0188;0,020591667;0,018166667;0,02055;0,02155;null;0,026988889;0,017516667;0,015425;0,022775;0,024075;0,022666667
Кропивницький;4853220;Сульфати;0,005;0,01;null;0,005;0,005;0,005;0,01;0;0,01;null;0,005;0;0,005;0,01;0,01;0;null;0,005;0,005;0,01;0;0,005;0,005;null;0;0;0,01;0;0,01;0
Кропивницький;4853220;Оксид вуглецю;3,166666667;2;null;2,5;2,666666667;2,833333333;2,5;3,166666667;2,166666667;null;2;2,333333333;2,666666667;2,166666667;2,166666667;2,5;null;2,333333333;2,333333333;2;2,333333333;2;2;null;2,5;1,833333333;1,166666667;2,333333333;2,5;2,5
